controlNumber,instrumentId,localName,englishName,alternateName,province,city,ethnolinguistic,fileName,fileType,declaredSizeMb,bytes,relativePath,sourcePath,sourceUrl,caption,status
PIISD02596,SW5zdHJ1bWVudFR5cGU6MjU5Ng==,Gabbang,Bamboo xylophone,,Sulu,Jolo,Tausug,ILGN_TSG_Gabbang_N16_P1_S4.mp3,audio/mpeg,0.76,800768,audio/PIISD02596__gabbang/ILGN_TSG_Gabbang_N16_P1_S4.mp3,media/PIISD02596/audio/ILGN_TSG_Gabbang_N16_P1_S4.mp3,https://katunog.asti.dost.gov.ph/files/media/PIISD02596/audio/ILGN_TSG_Gabbang_N16_P1_S4.mp3,Fieldwork Filename Description: Location _ Ethnic Group _ Instrument Name _ Note number _ Playing Style number _ Sample Number . mp3. See image file _Readme - Filename Description.jpg for the complete details.,downloaded
PIISD02596,SW5zdHJ1bWVudFR5cGU6MjU5Ng==,Gabbang,Bamboo xylophone,,Sulu,Jolo,Tausug,ILGN_TSG_Gabbang_N13_P1_S1.mp3,audio/mpeg,0.76,800768,audio/PIISD02596__gabbang/ILGN_TSG_Gabbang_N13_P1_S1.mp3,media/PIISD02596/audio/ILGN_TSG_Gabbang_N13_P1_S1.mp3,https://katunog.asti.dost.gov.ph/files/media/PIISD02596/audio/ILGN_TSG_Gabbang_N13_P1_S1.mp3,Fieldwork Filename Description: Location _ Ethnic Group _ Instrument Name _ Note number _ Playing Style number _ Sample Number . mp3. See image file _Readme - Filename Description.jpg for the complete details.,downloaded
PIISD02596,SW5zdHJ1bWVudFR5cGU6MjU5Ng==,Gabbang,Bamboo xylophone,,Sulu,Jolo,Tausug,ILGN_TSG_Gabbang_N12_P1_S4.mp3,audio/mpeg,0.76,800768,audio/PIISD02596__gabbang/ILGN_TSG_Gabbang_N12_P1_S4.mp3,media/PIISD02596/audio/ILGN_TSG_Gabbang_N12_P1_S4.mp3,https://katunog.asti.dost.gov.ph/files/media/PIISD02596/audio/ILGN_TSG_Gabbang_N12_P1_S4.mp3,Fieldwork Filename Description: Location _ Ethnic Group _ Instrument Name _ Note number _ Playing Style number _ Sample Number . mp3. See image file _Readme - Filename Description.jpg for the complete details.,downloaded
PIISD02596,SW5zdHJ1bWVudFR5cGU6MjU5Ng==,Gabbang,Bamboo xylophone,,Sulu,Jolo,Tausug,ILGN_TSG_Gabbang_N13_P1_S3.mp3,audio/mpeg,0.76,800768,audio/PIISD02596__gabbang/ILGN_TSG_Gabbang_N13_P1_S3.mp3,media/PIISD02596/audio/ILGN_TSG_Gabbang_N13_P1_S3.mp3,https://katunog.asti.dost.gov.ph/files/media/PIISD02596/audio/ILGN_TSG_Gabbang_N13_P1_S3.mp3,Fieldwork Filename Description: Location _ Ethnic Group _ Instrument Name _ Note number _ Playing Style number _ Sample Number . mp3. See image file _Readme - Filename Description.jpg for the complete details.,downloaded
PIISD02596,SW5zdHJ1bWVudFR5cGU6MjU5Ng==,Gabbang,Bamboo xylophone,,Sulu,Jolo,Tausug,ILGN_TSG_Gabbang_N13_P1_S2.mp3,audio/mpeg,0.76,800768,audio/PIISD02596__gabbang/ILGN_TSG_Gabbang_N13_P1_S2.mp3,media/PIISD02596/audio/ILGN_TSG_Gabbang_N13_P1_S2.mp3,https://katunog.asti.dost.gov.ph/files/media/PIISD02596/audio/ILGN_TSG_Gabbang_N13_P1_S2.mp3,Fieldwork Filename Description: Location _ Ethnic Group _ Instrument Name _ Note number _ Playing Style number _ Sample Number . mp3. See image file _Readme - Filename Description.jpg for the complete details.,downloaded
PIISD02596,SW5zdHJ1bWVudFR5cGU6MjU5Ng==,Gabbang,Bamboo xylophone,,Sulu,Jolo,Tausug,ILGN_TSG_Gabbang_N11_P1_S3.mp3,audio/mpeg,0.77,802816,audio/PIISD02596__gabbang/ILGN_TSG_Gabbang_N11_P1_S3.mp3,media/PIISD02596/audio/ILGN_TSG_Gabbang_N11_P1_S3.mp3,https://katunog.asti.dost.gov.ph/files/media/PIISD02596/audio/ILGN_TSG_Gabbang_N11_P1_S3.mp3,Fieldwork Filename Description: Location _ Ethnic Group _ Instrument Name _ Note number _ Playing Style number _ Sample Number . mp3. See image file _Readme - Filename Description.jpg for the complete details.,downloaded
PIISD02596,SW5zdHJ1bWVudFR5cGU6MjU5Ng==,Gabbang,Bamboo xylophone,,Sulu,Jolo,Tausug,ILGN_TSG_Gabbang_N11_P1_S2.mp3,audio/mpeg,0.76,798720,audio/PIISD02596__gabbang/ILGN_TSG_Gabbang_N11_P1_S2.mp3,media/PIISD02596/audio/ILGN_TSG_Gabbang_N11_P1_S2.mp3,https://katunog.asti.dost.gov.ph/files/media/PIISD02596/audio/ILGN_TSG_Gabbang_N11_P1_S2.mp3,Fieldwork Filename Description: Location _ Ethnic Group _ Instrument Name _ Note number _ Playing Style number _ Sample Number . mp3. See image file _Readme - Filename Description.jpg for the complete details.,downloaded
PIISD02596,SW5zdHJ1bWVudFR5cGU6MjU5Ng==,Gabbang,Bamboo xylophone,,Sulu,Jolo,Tausug,ILGN_TSG_Gabbang_N10_P1_S4.mp3,audio/mpeg,0.77,802816,audio/PIISD02596__gabbang/ILGN_TSG_Gabbang_N10_P1_S4.mp3,media/PIISD02596/audio/ILGN_TSG_Gabbang_N10_P1_S4.mp3,https://katunog.asti.dost.gov.ph/files/media/PIISD02596/audio/ILGN_TSG_Gabbang_N10_P1_S4.mp3,Fieldwork Filename Description: Location _ Ethnic Group _ Instrument Name _ Note number _ Playing Style number _ Sample Number . mp3. See image file _Readme - Filename Description.jpg for the complete details.,downloaded
PIISD02596,SW5zdHJ1bWVudFR5cGU6MjU5Ng==,Gabbang,Bamboo xylophone,,Sulu,Jolo,Tausug,ILGN_TSG_Gabbang_N8_P1_S4.mp3,audio/mpeg,0.77,802816,audio/PIISD02596__gabbang/ILGN_TSG_Gabbang_N8_P1_S4.mp3,media/PIISD02596/audio/ILGN_TSG_Gabbang_N8_P1_S4.mp3,https://katunog.asti.dost.gov.ph/files/media/PIISD02596/audio/ILGN_TSG_Gabbang_N8_P1_S4.mp3,Fieldwork Filename Description: Location _ Ethnic Group _ Instrument Name _ Note number _ Playing Style number _ Sample Number . mp3. See image file _Readme - Filename Description.jpg for the complete details.,downloaded
PIISD02596,SW5zdHJ1bWVudFR5cGU6MjU5Ng==,Gabbang,Bamboo xylophone,,Sulu,Jolo,Tausug,ILGN_TSG_Gabbang_N9_P1_S1.mp3,audio/mpeg,0.76,800768,audio/PIISD02596__gabbang/ILGN_TSG_Gabbang_N9_P1_S1.mp3,media/PIISD02596/audio/ILGN_TSG_Gabbang_N9_P1_S1.mp3,https://katunog.asti.dost.gov.ph/files/media/PIISD02596/audio/ILGN_TSG_Gabbang_N9_P1_S1.mp3,Fieldwork Filename Description: Location _ Ethnic Group _ Instrument Name _ Note number _ Playing Style number _ Sample Number . mp3. See image file _Readme - Filename Description.jpg for the complete details.,downloaded
